ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
06809.HK,20260209,168.0,176.0,156.0,175.0,106.89,68.11,63.72,21167253.0,3396100768.9
06809.HK,20260210,171.0,182.8,166.0,178.0,175.0,3.0,1.71,5329373.0,945273709.3
06809.HK,20260211,173.3,178.0,166.1,172.7,178.0,-5.3,-2.98,3355604.0,578597577.2
06809.HK,20260212,176.0,188.0,168.0,182.3,172.7,9.6,5.56,4025039.0,712567437.1
06809.HK,20260213,176.6,187.8,176.0,185.0,182.3,2.7,1.48,3001448.0,548206880.3
06809.HK,20260216,187.1,217.4,183.4,211.0,185.0,26.0,14.05,2798667.0,571970750.8
06809.HK,20260220,206.8,229.8,203.4,212.0,211.0,1.0,0.47,4438666.0,956740614.2
06809.HK,20260223,220.0,220.2,193.0,197.1,212.0,-14.9,-7.03,2558159.0,518943428.1
06809.HK,20260224,194.0,210.0,187.6,206.8,197.1,9.7,4.92,2698410.0,545309935.1
06809.HK,20260225,205.0,206.0,189.6,192.1,206.8,-14.7,-7.11,1783131.0,345734869.6
06809.HK,20260226,195.0,196.8,185.0,188.0,192.1,-4.1,-2.13,1721089.0,323962822.3
06809.HK,20260227,184.0,187.8,175.8,179.2,188.0,-8.8,-4.68,1341645.0,240676845.2
06809.HK,20260302,174.0,191.0,173.0,177.0,179.2,-2.2,-1.23,2184044.0,401530370.9
06809.HK,20260303,180.0,183.5,164.8,166.0,177.0,-11.0,-6.21,1685666.0,287806072.0
06809.HK,20260304,160.0,175.3,159.1,167.2,166.0,1.2,0.72,2418701.0,405810750.3
06809.HK,20260305,176.0,178.8,171.0,173.8,167.2,6.6,3.95,855931.0,149535094.7
06809.HK,20260306,171.1,174.5,168.0,170.0,173.8,-3.8,-2.19,656769.0,112233351.9
06809.HK,20260309,160.0,167.2,156.0,165.9,170.0,-4.1,-2.41,1497276.0,240665447.8
06809.HK,20260310,175.8,187.5,175.0,183.9,165.9,18.0,10.85,2158456.0,390604129.1
06809.HK,20260311,186.7,192.8,178.0,178.9,183.9,-5.0,-2.72,1497374.0,274343584.0
06809.HK,20260312,178.2,189.5,178.0,185.5,178.9,6.6,3.69,1306294.0,241939614.4
06809.HK,20260313,183.0,190.5,175.2,175.5,185.5,-10.0,-5.39,1081499.0,197610514.4
06809.HK,20260316,176.5,192.0,170.8,189.5,175.5,14.0,7.98,2580400.0,475406656.2
06809.HK,20260317,192.0,194.2,179.0,179.3,189.5,-10.2,-5.38,1341862.0,249737026.2
06809.HK,20260318,186.0,197.0,185.0,194.7,179.3,15.4,8.59,3202857.0,617947900.3
06809.HK,20260319,187.8,204.4,187.0,195.4,194.7,0.7,0.36,2063527.0,406795566.4
06809.HK,20260320,197.5,202.0,186.0,188.7,195.4,-6.7,-3.43,1400045.0,269668649.0
06809.HK,20260323,180.2,183.8,168.6,172.9,188.7,-15.8,-8.37,1748283.0,304398820.2
06809.HK,20260324,177.8,179.0,165.1,174.0,172.9,1.1,0.64,1485417.0,255233303.3
06809.HK,20260325,179.0,186.3,177.3,182.0,174.0,8.0,4.6,1627670.0,295280124.3
06809.HK,20260326,180.1,182.7,176.5,181.0,182.0,-1.0,-0.55,1051800.0,188333830.0
06809.HK,20260327,177.5,181.6,173.0,177.3,181.0,-3.7,-2.04,1094820.0,194279093.8
06809.HK,20260330,172.2,172.5,165.0,165.1,177.3,-12.2,-6.88,1375310.0,230612502.6
06809.HK,20260331,159.0,164.8,152.7,154.0,165.1,-11.1,-6.72,1429734.0,226131726.4
06809.HK,20260401,163.5,171.7,161.0,171.0,154.0,17.0,11.04,1757472.0,292585375.0
06809.HK,20260402,177.0,183.5,170.5,175.0,171.0,4.0,2.34,1754423.0,310354368.7
06809.HK,20260408,185.0,200.0,183.8,200.0,175.0,25.0,14.29,3502706.0,680577607.1
06809.HK,20260409,198.0,201.4,192.8,194.8,200.0,-5.2,-2.6,1408755.0,278058461.9
06809.HK,20260410,202.4,210.0,197.4,199.4,194.8,4.6,2.36,2306297.0,469906491.8
06809.HK,20260413,197.0,223.2,197.0,213.0,199.4,13.6,6.82,2668597.0,568021532.4
06809.HK,20260414,223.0,223.8,208.2,209.8,213.0,-3.2,-1.5,2313792.0,501379343.3
06809.HK,20260415,216.8,218.0,201.0,202.4,209.8,-7.4,-3.53,1628490.0,340846802.8
06809.HK,20260416,202.4,224.0,199.4,218.6,202.4,16.2,8.0,2307813.0,500370078.0
06809.HK,20260417,217.6,218.8,206.2,209.4,218.6,-9.2,-4.21,1627500.0,343132880.0
06809.HK,20260420,214.0,214.0,202.2,205.0,209.4,-4.4,-2.1,1309415.0,270853523.8
06809.HK,20260421,203.0,209.6,196.0,207.2,205.0,2.2,1.07,1569046.0,321514609.4
06809.HK,20260422,208.0,224.8,207.2,224.4,207.2,17.2,8.3,2686445.0,580902070.8
